subid,proba,pred
20170921-ST001-MNBCP401592-v02-2-9mo_MR-SE002-T1w,0.63,1.0
20170525-ST001-Elison_BSLERP_147207_01_01_MR-SE002-T1w_Defaced,0.46,0.0
20171030-ST001-MNBCP940808-v04-1-12mo_MR-SE003-T1w,0.59,1.0
NCBCP509659-v01-1-10mo_2_T1w,0.43,0.0
20180730-ST001-MNBCP884382-v01-2-3mo_MR-SE003-T1w,0.55,1.0
20171010-ST001-MNBCP601017-v01-1-19mo_MR-SE002-T1w,0.49,0.0
MNBCP879509-v03-1-9mo-20170905_15_T1w,0.53,1.0
20170120-ST001-Elison_BSLERP_787525_01_01_MR-SE005-T1w_Defaced,0.47,0.0
NCBCP340751-v01-1-52mo_5_T1w,0.43,0.0
NCBCP799931-v01-2-44mo_3_T1w,0.89,1.0
20170216-ST001-Elison_BSLERP_826398_01_01_MR-SE007-T1w,0.59,1.0
20180805-ST001-MNBCP947206-v02-1-2mo_MR-SE002-T1w,0.47,0.0
20180728-ST001-MNBCP726893-v05-1-14mo_MR-SE003-T1w,0.41,0.0
20180513-ST001-MNBCP309615-v01-1-2mo_MR-SE003-T1w,0.38,0.0
20150909-ST001-Elison_BSLERP_505499_01_01_MR-SE005-T1w_pt6,0.63,1.0
20190811-ST001-MNBCP240615-v03-1-28mo_MR-SE012-T1w,0.53,1.0
20170410-ST001-Elison_BSLERP_469900_01_01_MR-SE006-T1w,0.45,0.0
20151019-ST001-_Elison_BSLERP_138813_03_01_MR-SE002-T1w,0.46,0.0
20170826-ST001-MNBCP282791-v01-2-19mo_MR-SE002-T1w,0.48,0.0
BCP-197622-2wk-v1_2_T1w_Defaced,0.5,0.0
NCBCP392476-v01-2-47mo_3_T1w,0.47,0.0
20190712-ST001-MNBCP706655-v06-1-24mo_MR-SE002-T1w,0.41,0.0
NCBCP529587-v01-1-37mo_10_T1w,0.76,1.0
MNBCP124529-v02-1-25mo-20181115_3_T1w,0.55,1.0
20171206-ST002-MNBCP401592-v03-1-12mo_MR-SE003-T1w,0.42,0.0
NCBCP986700-v01-1-44mo-20161201_2_T1w,0.77,1.0
NCBCP062519-v02-1-3mo_3_T1w,0.42,0.0
20170520-ST001-Elison_BSLERP_544404_02_01_MR-SE002-T1w,0.48,0.0
20180105-ST001-MNBCP204659-v01-1-10mo_MR-SE002-T1w,0.45,0.0
NCBCP868724-v05-2-14mo_3_T1w,0.39,0.0
20181029-ST001-MNBCP439999-v04-2-20mo_MR-SE003-T1w,0.83,1.0
BCP-107008-6mo-v1_5_T1w,0.49,0.0
NCBCP530066-v05-1-22mo_2_T1w,0.39,0.0
20170419-ST001-Elison_BSLERP_200919_01_02_MR-SE002-T1w_Defaced,0.53,1.0
MNBCP799959-v03-1-16mo-20200304_3_T1w,0.59,1.0
BCP-355327-67mo-v1_9_T1w,0.94,1.0
NCBCP218663-v05-1-21mo_2_T1w,0.47,0.0
